@relation test

@attribute text string
@attribute ClassArff {correct,PixelHardcodeIgnoranceRule,LongMethodRule,SimplifyBooleanExpressions,IfElseStmtsMustUseBraces,VariableNamingConventions,DecentralizedEventHandlingRule,DrawingStateChangeRule,ShortVariable,TooManyFields,DecentralizedDrawingRule,EmptyIfStmt,AtLeastOneConstructor,LongParameterListRule,IfStmtsMustUseBraces,AvoidFieldNameMatchingMethodName,StdCyclomaticComplexity,AvoidFieldNameMatchingTypeName,EmptyStatementNotInLoop,StatelessClassRule,UncommentedEmptyConstructor,MethodNamingConventions,ForLoopsMustUseBraces,FieldDeclarationsShouldBeAtStartOfClass,UnusedFormalParameter,AvoidReassigningParameters,AvoidDeeplyNestedIfStmts,IdempotentOperations}

@data
'// width of bunnyint rad = 70;',TooManyFields
'fill(R, G, B)',correct
'bunnies.length',correct
'display',correct
'showimage',correct
'{    // if the carrot is near the rabbit    xspeed = 1.2f;    yspeed = 0.8f;    R = 242;    G = 159;    B = 159;    R1 = 255;    G1 = 255;    B1 = 255;}',correct
'// loads image into the programcarrot = loadImage("carrot.png");',correct
'ydirection *= -1;',correct
'mouth1 = loadImage("chew.png")',correct
'// square hitbox around  bunnyfloat distance = sqrt(dx * dx + dy * dy);',correct
'// legs',correct
'void collide() {    // * based on code from Keith Peters.    for (int i = id + 1; i < bunnies.length; i++) {        // x distance between bunnies        float dx = bunnies[i].posx - posx;        // y distance between bunnies        float dy = bunnies[i].posy - posy;        // square hitbox around  bunny        float distance = sqrt(dx * dx + dy * dy);        // Max distance between bunnies        float minDist = 50;        if (distance < minDist) {            // calculates the angle between dy and dx            float angle = atan2(dy, dx);            float targetX = posx + cos(angle) * minDist;            float targetY = posy + sin(angle) * minDist;            float ax = (targetX - bunnies[i].posx);            float ay = (targetY - bunnies[i].posy);            xdirection = xdirection * (-1);            // or -=ay but then it speeds up            ydirection = ydirection * (-1);            R = 51;            G = 219;            B = 60;        }    }}',TooManyFields
'{    // calculates the angle between dy and dx    float angle = atan2(dy, dx);    float targetX = posx + cos(angle) * minDist;    float targetY = posy + sin(angle) * minDist;    float ax = (targetX - bunnies[i].posx);    float ay = (targetY - bunnies[i].posy);    xdirection = xdirection * (-1);    // or -=ay but then it speeds up    ydirection = ydirection * (-1);    R = 51;    G = 219;    B = 60;}',correct
'G = 35;',correct
'ellipse(posx - 8, posy - 75, 12, 17)',correct
'cos(angle)',correct
'posx - 28',correct
'i++',correct
'sin(angle)',correct
'posx - 23',correct
'posx - 26',correct
'{    for (int i = 0; i < bunnies.length; i++) {        bunnies[i].Collision();    }}',correct
'// loads image into the programmouth1 = loadImage("chew.png");',correct
'xdirection = xdirection1',correct
'loadImage("carrot.png")',correct
'for (int i = 0; i < bunnies.length; i++) {    bunnies[i] = new Bunny(random(0, width), random(0, height), random(-1, 1), random(-1, 1), carrot, i);}',correct
'posx + cos(angle) * minDist',correct
'keyPressed',correct
'{    xdirection *= -1;}',correct
'float ay = (targetY - bunnies[i].posy)',correct
'float ax = (targetX - bunnies[i].posx);',ShortVariable
'G = 219;',correct
'// draws an ear that shifts colour according to the mood of the bunnyellipse(posx + 23, posy - 115, 20, 55);',correct
'// mouth sadimage(mouth, posx - 3, posy - 55, 17, 10);',correct
'B = 159',correct
'image(nose, posx + 1, posy - 70, 50, 20)',correct
'fed += 1',correct
'// update position of bunnyposy = posy + (yspeed * ydirection);',correct
'G = 219',correct
'carrotX < posx + 50 && carrotX > posx - 50 && carrotY < posy - 20 && carrotY > posy - 70 && carrot.isVisable()',correct
'textAlign(LEFT)',correct
'ellipse(posx, posy - 75, 55, 55)',correct
'{    carrot.updatePosition(mouseX, mouseY);}',correct
'// for colourswich furint R1;',TooManyFields
'[10]',correct
'bunnies[i].drawBunny();',correct
'yspeed = 0.8f',correct
'yspeed = 2.2f',correct
'// for colourswich bodyint B;',TooManyFields
'posy = posy1;',correct
'atan2(dy, dx)',correct
'if (posy > height - rad || posy < rad) {    ydirection *= -1;}',correct
'bunnies[i].drawBunny()',correct
'bunnies[i].counting();',correct
'nose',correct
'void updatePosition(float x, float y) {    position = new PVector(x, y);}',correct
'{    // make sure background is loaded    background(bg);    for (int i = 0; i < bunnies.length; i++) {        bunnies[i].drawBunny();        bunnies[i].collide();        bunnies[i].counting();    }    carrot.display();    // Angry.draw();    fill(0);    // write user instructions on screen    textSize(30);    textAlign(LEFT);    textSize(20);    text("Click to feed the rabbit. When it is hungry again, press n to generate a new carrot. \nYou have 6 carrots in store. \nCarrots used :" + counter, 10, 30);}',correct
'mouth2 = loadImage("smile.png");',correct
'B1 = 192;',correct
'"smile.png"',correct
'width / 2',correct
'B = 138',correct
'// for colourswich furint B1;',TooManyFields
'posx - 50',correct
'{    position = new PVector(x, y);    // loads image into the program    carrot = loadImage("carrot.png");    showimage = true;}',correct
'// make it all a grey tint. Bunnies stop moving and background is white/grey ish// bunnies will be a darker tint of greyR = 144;',correct
'carrot',correct
'mouseDragged',correct
'// eyes// blackfill(0, 0, 0);',correct
'{    ladybugs[i].unselect();}',correct
'random(0, 255)',correct
'line(ladybugX + 15, ladybugY - 60, ladybugX + 10, ladybugY - 50)',correct
'{    isSelected = false;}',correct
'fill(0, 0, 0)',correct
'{    int xspeed = 1;    ladybugX = ladybugX + xspeed;    if (ladybugX >= width + 37) {        ladybugX = -75;    }}',correct
'ladybugX = -75',correct
'ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)))',correct
'{    ladybugs[i].scareBug();}',correct
'line(ladybugX - 40, ladybugY + 40, ladybugX + 40, ladybugY - 40)',correct
'for (int i = 0; i < ladybugs.length; i++) {    ladybugs[i].scareBug();}',correct
'fill(255, 0, 0);',correct
'{    if (isSelected) {        ladybugX = newX;        ladybugY = newY;    }}',correct
'if (isSelected) {    ladybugX = newX;    ladybugY = newY;}',correct
'{    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].unselect();    }}',correct
'// head ladybugfill(0, 0, 0);',correct
'/* Armein Margriet Dul //<>// s2164736 Creature Project 2018, P4WCI*/// declare the ladybugsstatic final int LADYBUGS = 10;',correct
'{    ladybugs[i].move(mouseX, mouseY);}',correct
'boolean isSelected = false;',correct
'line(ladybugX + 15, ladybugY - 60, ladybugX + 10, ladybugY - 50);',correct
'float radius = 37.5f;',correct
'ladybugX = newX',correct
'[LADYBUGS]',correct
'ellipse(ladybugX + 10, ladybugY + 0, 8, 8);',correct
'mouseReleased',correct
'PImage',correct
'line(ladybugX - 60, ladybugY, ladybugX + 60, ladybugY);',correct
'isSelected = false;',correct
'xspeed = 1',correct
'{    ladybugX = initX;    ladybugY = initY;}',correct
'LADYBUGS = 10',correct
'// move the ladybug around in the field with a new x and y positionvoid move(int newX, int newY) {    if (isSelected) {        ladybugX = newX;        ladybugY = newY;    }}',correct
'line(ladybugX, ladybugY + 36, ladybugX, ladybugY - 36)',correct
'fill(random(0, 255), random(0, 255), random(0, 255));',correct
'for (int i = 0; i < ladybugs.length; i++) {    ladybugs[i].move(mouseX, mouseY);}',correct
'ladybugY - 18',correct
'ladybugX - 60',correct
'ellipse(ladybugX, ladybugY, 75, 75)',correct
'int initY',correct
'ladybugX - 40',correct
'mouseButton == LEFT',correct
'random(0, 501)',correct
'int initX',correct
'{    image(flowers, 0, 0);    // create the ladybugs    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].display();        ladybugs[i].updated();    }}',correct
'strokeWeight(2);',correct
'ellipse(ladybugX - 10, ladybugY + 0, 8, 8)',correct
'ladybugX = ladybugX + xspeed;',correct
'ladybugY - 25',correct
'for (int i = 0; i < ladybugs.length; i++) {    ladybugs[i].unselect();}',correct
'37.5f',correct
'int newX',correct
'int newY',correct
'flowers = loadImage("flowers.png")',correct
'line(ladybugX - 15, ladybugY - 60, ladybugX - 10, ladybugY - 50)',correct
'ladybugX = -75;',correct
'Ladybug[]',correct
'new Ladybug[LADYBUGS]',correct
'ladybugX + 10',correct
'Ladybug[] ladybugs = new Ladybug[LADYBUGS];',correct
'// photo of my gardenPImage flowers;',correct
'/*when mouse is pressed on one of the ladybugs, only one of them is selected.  to make sure the ladybug doesnt "eat" others, there is a break in the program  reference: thanks to the help of Ansgar*/void mousePressed() {    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].selected();        if (ladybugs[i].isSelected) {            break;        }    }}',correct
'ellipse(ladybugX, ladybugY, 75, 75);',correct
'ladybugX + 15',correct
'ladybugX + 17',correct
'{    fill(random(0, 255), random(0, 255), random(0, 255));}',correct
'{    isInsecure = !isInsecure;}',correct
'ladybugX + 18',correct
'ladybugY - 36',correct
'ellipse(ladybugX + 10, ladybugY + 0, 8, 8)',correct
'ladybugX = initX;',correct
'isSelected = true',correct
'{    ladybugs[i].display();    ladybugs[i].updated();}',correct
'ladybugX + xspeed',correct
'{    break;}',correct
'if (ladybugs[i].isSelected) {    break;}',correct
'ladybugY - 50',correct
'break;',correct
'ellipse(ladybugX - 17, ladybugY - 65, -8, -8);',correct
'{    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].selected();        if (ladybugs[i].isSelected) {            break;        }    }}',correct
'// when ladybugs are out of the field, they will come backvoid updated() {    int xspeed = 1;    ladybugX = ladybugX + xspeed;    if (ladybugX >= width + 37) {        ladybugX = -75;    }}',correct
'ladybugY - 40',correct
'{    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].scareBug();    }}',correct
'ladybugs[i].move(mouseX, mouseY)',correct
'{    ladybugX = -75;}',correct
'if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {    isSelected = true;}',correct
'updated',correct
'// change x and y position of ladybug by moving mouse in any directionvoid mouseDragged() {    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].move(mouseX, mouseY);    }}',correct
'// create the ladybugsfor (int i = 0; i < ladybugs.length; i++) {    ladybugs[i].display();    ladybugs[i].updated();}',correct
'ladybugs[i].isSelected',correct
'ladybugY - 60',correct
'int xspeed = 1',correct
'int ladybugX;',correct
'ladybugY + 0',correct
'Processing',correct
'Ladybug',correct
'line(ladybugX - 40, ladybugY - 40, ladybugX + 40, ladybugY + 40);',correct
'ellipse(ladybugX + 17, ladybugY - 64, -8, -8)',correct
'// initialize the ladybugs at a random position in the fieldfor (int i = 0; i < ladybugs.length; i++) {    ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)));}',correct
'// class of a ladybugclass Ladybug {    int ladybugX;    int ladybugY;    boolean isInsecure = false;    boolean isSelected = false;    float radius = 37.5f;    Ladybug(int initX, int initY) {        ladybugX = initX;        ladybugY = initY;    }    void display() {        // legs ladybug        fill(0, 0, 0);        strokeWeight(2);        line(ladybugX - 40, ladybugY + 40, ladybugX + 40, ladybugY - 40);        line(ladybugX - 60, ladybugY, ladybugX + 60, ladybugY);        line(ladybugX - 40, ladybugY - 40, ladybugX + 40, ladybugY + 40);        // head ladybug        fill(0, 0, 0);        strokeWeight(2);        ellipse(ladybugX, ladybugY - 25, 50, 50);        // body and bodycolour        strokeWeight(2);        if (isInsecure) {            fill(random(0, 255), random(0, 255), random(0, 255));        } else {            fill(255, 0, 0);        }        ellipse(ladybugX, ladybugY, 75, 75);        // body: on top of the ladybug        line(ladybugX, ladybugY + 36, ladybugX, ladybugY - 36);        // black        fill(0, 0, 0);        ellipse(ladybugX + 18, ladybugY + 18, 8, 8);        ellipse(ladybugX + 18, ladybugY - 18, 8, 8);        ellipse(ladybugX - 18, ladybugY - 18, 8, 8);        ellipse(ladybugX - 10, ladybugY + 0, 8, 8);        ellipse(ladybugX + 10, ladybugY + 0, 8, 8);        ellipse(ladybugX - 18, ladybugY + 18, 8, 8);        // feelers        strokeWeight(2);        line(ladybugX - 15, ladybugY - 60, ladybugX - 10, ladybugY - 50);        line(ladybugX + 15, ladybugY - 60, ladybugX + 10, ladybugY - 50);        // eyes        // black        fill(0, 0, 0);        ellipse(ladybugX + 17, ladybugY - 64, -8, -8);        ellipse(ladybugX - 17, ladybugY - 65, -8, -8);    }    // when ladybugs are out of the field, they will come back    void updated() {        int xspeed = 1;        ladybugX = ladybugX + xspeed;        if (ladybugX >= width + 37) {            ladybugX = -75;        }    }    // scare the ladybug, when you are inside the ladybug    void scareBug() {        if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {            isInsecure = !isInsecure;        }    }    // move the ladybug around in the field with a new x and y position    void move(int newX, int newY) {        if (isSelected) {            ladybugX = newX;            ladybugY = newY;        }    }    /*only inside the ladybug, you can select it   reference: thanks to the help of Ansgar*/    void selected() {        if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {            isSelected = true;        }    }    /*unselect the ladybug    reference: thanks to the help of Ansgar*/    void unselect() {        isSelected = false;    }}',correct
'ladybugX = initX',correct
'// scare the ladybug, when you are inside the ladybugvoid scareBug() {    if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {        isInsecure = !isInsecure;    }}',correct
'ladybugs[i].scareBug();',correct
'ladybugY = initY;',correct
'ellipse(ladybugX - 18, ladybugY + 18, 8, 8)',correct
'void display() {    // legs ladybug    fill(0, 0, 0);    strokeWeight(2);    line(ladybugX - 40, ladybugY + 40, ladybugX + 40, ladybugY - 40);    line(ladybugX - 60, ladybugY, ladybugX + 60, ladybugY);    line(ladybugX - 40, ladybugY - 40, ladybugX + 40, ladybugY + 40);    // head ladybug    fill(0, 0, 0);    strokeWeight(2);    ellipse(ladybugX, ladybugY - 25, 50, 50);    // body and bodycolour    strokeWeight(2);    if (isInsecure) {        fill(random(0, 255), random(0, 255), random(0, 255));    } else {        fill(255, 0, 0);    }    ellipse(ladybugX, ladybugY, 75, 75);    // body: on top of the ladybug    line(ladybugX, ladybugY + 36, ladybugX, ladybugY - 36);    // black    fill(0, 0, 0);    ellipse(ladybugX + 18, ladybugY + 18, 8, 8);    ellipse(ladybugX + 18, ladybugY - 18, 8, 8);    ellipse(ladybugX - 18, ladybugY - 18, 8, 8);    ellipse(ladybugX - 10, ladybugY + 0, 8, 8);    ellipse(ladybugX + 10, ladybugY + 0, 8, 8);    ellipse(ladybugX - 18, ladybugY + 18, 8, 8);    // feelers    strokeWeight(2);    line(ladybugX - 15, ladybugY - 60, ladybugX - 10, ladybugY - 50);    line(ladybugX + 15, ladybugY - 60, ladybugX + 10, ladybugY - 50);    // eyes    // black    fill(0, 0, 0);    ellipse(ladybugX + 17, ladybugY - 64, -8, -8);    ellipse(ladybugX - 17, ladybugY - 65, -8, -8);}',correct
'false',correct
'int ladybugY;',correct
'if (isInsecure) {    fill(random(0, 255), random(0, 255), random(0, 255));} else {    fill(255, 0, 0);}',correct
'int i = 0',correct
'ladybugY - 65',correct
'ladybugY - 64',correct
'setup',correct
'for (int i = 0; i < ladybugs.length; i++) {    ladybugs[i].selected();    if (ladybugs[i].isSelected) {        break;    }}',correct
'{    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].move(mouseX, mouseY);    }}',correct
'{    ladybugX = newX;    ladybugY = newY;}',correct
'scareBug',correct
'new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)))',correct
'image(flowers, 0, 0);',correct
'i = 0',correct
'radius = 37.5f',correct
'ladybugY = initY',correct
'{    ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)));}',correct
'ladybugs[i].display();',correct
'line(ladybugX - 40, ladybugY - 40, ladybugX + 40, ladybugY + 40)',correct
'isSelected = true;',correct
'flowers = loadImage("flowers.png");',correct
'// when clicked inside the Ladybug AND left mousbutton, the Ladybug changes her colour)void mouseClicked() {    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].scareBug();    }}',correct
'ellipse(ladybugX + 18, ladybugY + 18, 8, 8)',correct
'{    ladybugs[i].selected();    if (ladybugs[i].isSelected) {        break;    }}',correct
'ellipse(ladybugX - 17, ladybugY - 65, -8, -8)',correct
'ladybugX + 40',correct
'flowers',correct
'isInsecure = false',correct
'isInsecure = !isInsecure;',correct
'// body and bodycolourstrokeWeight(2);',correct
'Ladybug(int initX, int initY) {    ladybugX = initX;    ladybugY = initY;}',correct
'ellipse(ladybugX - 10, ladybugY + 0, 8, 8);',correct
'image(flowers, 0, 0)',correct
'{    if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {        isInsecure = !isInsecure;    }}',correct
'ladybugY = newY',correct
'((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT',correct
'"flowers.png"',correct
'{    flowers = loadImage("flowers.png");    // initialize the ladybugs at a random position in the field    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)));    }}',correct
'{    fill(255, 0, 0);}',correct
'ellipse(ladybugX + 18, ladybugY - 18, 8, 8)',correct
'// eyes',correct
'ladybugX = newX;',correct
'width + 37',correct
'line(ladybugX - 40, ladybugY + 40, ladybugX + 40, ladybugY - 40);',correct
'ladybugs[i].selected()',correct
'display',LongMethodRule
'line(ladybugX - 60, ladybugY, ladybugX + 60, ladybugY)',correct
'ladybugs[i].scareBug()',correct
'draw',correct
'/*only inside the ladybug, you can select it   reference: thanks to the help of Ansgar*/void selected() {    if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {        isSelected = true;    }}',correct
'!isInsecure',correct
'ellipse(ladybugX, ladybugY - 25, 50, 50);',correct
'i < ladybugs.length',correct
'ladybugs[i].display()',correct
'// body: on top of the ladybugline(ladybugX, ladybugY + 36, ladybugX, ladybugY - 36);',correct
'PApplet.parseInt(random(0, 501))',correct
'// blackfill(0, 0, 0);',correct
'fill(255, 0, 0)',correct
'i++',correct
'ladybugs[i].selected();',correct
'void draw() {    image(flowers, 0, 0);    // create the ladybugs    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].display();        ladybugs[i].updated();    }}',correct
'ellipse(ladybugX, ladybugY - 25, 50, 50)',correct
'ladybugs[i].updated();',correct
'ellipse(ladybugX - 18, ladybugY + 18, 8, 8);',correct
'boolean isInsecure = false;',correct
'ladybugY',correct
'ladybugX',correct
'ladybugY + 18',correct
'ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)));',correct
'void',correct
'ellipse(ladybugX - 18, ladybugY - 18, 8, 8)',correct
'void setup() {    flowers = loadImage("flowers.png");    // initialize the ladybugs at a random position in the field    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i] = new Ladybug(PApplet.parseInt(random(0, 501)), PApplet.parseInt(random(0, 501)));    }}',correct
'ladybugs[i].updated()',correct
'-8',correct
'{    isSelected = true;}',correct
'ladybugs[i].unselect()',correct
'{    if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {        isSelected = true;    }}',correct
'ladybugs = new Ladybug[LADYBUGS]',correct
'if (((mouseX - ladybugX) * (mouseX - ladybugX) + (mouseY - ladybugY) * (mouseY - ladybugY) <= radius * radius) && mouseButton == LEFT) {    isInsecure = !isInsecure;}',correct
'strokeWeight(2)',correct
'mouseClicked',correct
'fill(random(0, 255), random(0, 255), random(0, 255))',correct
'true',correct
'ellipse(ladybugX + 18, ladybugY + 18, 8, 8);',correct
'// legs ladybugfill(0, 0, 0);',correct
'line(ladybugX - 15, ladybugY - 60, ladybugX - 10, ladybugY - 50);',correct
'{    // legs ladybug    fill(0, 0, 0);    strokeWeight(2);    line(ladybugX - 40, ladybugY + 40, ladybugX + 40, ladybugY - 40);    line(ladybugX - 60, ladybugY, ladybugX + 60, ladybugY);    line(ladybugX - 40, ladybugY - 40, ladybugX + 40, ladybugY + 40);    // head ladybug    fill(0, 0, 0);    strokeWeight(2);    ellipse(ladybugX, ladybugY - 25, 50, 50);    // body and bodycolour    strokeWeight(2);    if (isInsecure) {        fill(random(0, 255), random(0, 255), random(0, 255));    } else {        fill(255, 0, 0);    }    ellipse(ladybugX, ladybugY, 75, 75);    // body: on top of the ladybug    line(ladybugX, ladybugY + 36, ladybugX, ladybugY - 36);    // black    fill(0, 0, 0);    ellipse(ladybugX + 18, ladybugY + 18, 8, 8);    ellipse(ladybugX + 18, ladybugY - 18, 8, 8);    ellipse(ladybugX - 18, ladybugY - 18, 8, 8);    ellipse(ladybugX - 10, ladybugY + 0, 8, 8);    ellipse(ladybugX + 10, ladybugY + 0, 8, 8);    ellipse(ladybugX - 18, ladybugY + 18, 8, 8);    // feelers    strokeWeight(2);    line(ladybugX - 15, ladybugY - 60, ladybugX - 10, ladybugY - 50);    line(ladybugX + 15, ladybugY - 60, ladybugX + 10, ladybugY - 50);    // eyes    // black    fill(0, 0, 0);    ellipse(ladybugX + 17, ladybugY - 64, -8, -8);    ellipse(ladybugX - 17, ladybugY - 65, -8, -8);}',LongMethodRule
'ladybugX >= width + 37',correct
'ellipse(ladybugX - 18, ladybugY - 18, 8, 8);',correct
'ladybugX - 10',correct
'isInsecure = !isInsecure',correct
'ladybugX - 17',correct
'ladybugX - 15',correct
'-75',correct
'// feelersstrokeWeight(2);',correct
'ladybugX - 18',correct
'ladybugs.length',correct
'// when mouse is released, let the ladybugs do their own thingvoid mouseReleased() {    for (int i = 0; i < ladybugs.length; i++) {        ladybugs[i].unselect();    }}',correct
'int xspeed = 1;',correct
'ladybugY + 36',correct
'ladybugs[i].unselect();',correct
'ladybugX + 60',correct
'ladybugX = ladybugX + xspeed',correct
'move',correct
'ellipse(ladybugX + 18, ladybugY - 18, 8, 8);',correct
'ladybugs[i]',correct
'/* Armein Margriet Dul //<>// s2164736 Creature Project 2018, P4WCI*/',correct
'if (ladybugX >= width + 37) {    ladybugX = -75;}',correct
'ladybugs[i].move(mouseX, mouseY);',correct
'/*unselect the ladybug    reference: thanks to the help of Ansgar*/void unselect() {    isSelected = false;}',correct
'ladybugY + 40',correct
'isSelected = false',correct
'ellipse(ladybugX + 17, ladybugY - 64, -8, -8);',correct
'ladybugY = newY;',correct
'loadImage("flowers.png")',correct
'Water',correct
'{    hans.moveLeft();}',correct
'1.0f * PI',correct
'narwhalY - speed',correct
'hans = new Narwhal();',correct
'// making the jellyfish accelerate the higher your scorejellyfishX = jellyfishX + score / 5 + 1;',correct
'jellyfishX = jellyfishX + score / 5 + 1',correct
'waterX = waterX + 100',correct
'waterY = 600',correct
'random(0, 255)',correct
'jellyfishY = PApplet.parseInt(random(200, 500))',correct
'// headstroke(bodyColor);',correct
'score',correct
'Narwhal',correct
'if (shootLaser == false) {    laserX = narwhalX - 237;    laserY = narwhalY - 48;}',SimplifyBooleanExpressions
'arc(jellyfishX, jellyfishY, 50, 50, PI, 2 * PI);',correct
'narwhalX = 1150',correct
'laserY = narwhalY - 48',correct
'laserX - 5',correct
'stroke(100, 100, 255)',correct
'arc(narwhalX - 30, narwhalY, 150, 150, 1.0f * PI, 9);',correct
'jellyfishColorB = PApplet.parseInt(random(255));',correct
'narwhalY',correct
'narwhalX',correct
'moveUp',correct
'laserX = laserX - 5;',DrawingStateChangeRule
'{    waterY = 600;}',correct
'Water ocean;',correct
'void draw() {    // skyblue    background(135, 206, 235);    points.display();    hans.display();    ocean.display();    jello.display();    jello.interact();}',correct
'triangle(narwhalX + 200, narwhalY + 75, narwhalX + 235, narwhalY + 115, narwhalX + 235, narwhalY + 40)',correct
'score + 1',correct
'{    // skyblue    background(135, 206, 235);    points.display();    hans.display();    ocean.display();    jello.display();    jello.interact();}',correct
'jellyfishX - 25',correct
'PApplet.parseInt(random(0, 255))',correct
'fill(0, 0, 0)',correct
'int waterX = 50',correct
'narwhalX = -250;',correct
'dist(jellyfishX, jellyfishY, laserX, laserY)',correct
'int jellyfishColorB;',correct
'Score() {    textSize(32);    textX = 830;    textY = 50;    score = 0;}',correct
'int textX;',correct
'new Water()',correct
'jellyfishY',correct
'jellyfishX',correct
'if (key == s) {    hans.moveDown();}',correct
'Narwhal() {    narwhalX = width / 2;    narwhalY = height / 2;    // light grey    bodyColor = color(150, 150, 150);    laserX = narwhalX - 237;    laserY = narwhalY - 48;    speed = 20;}',correct
'textSize(32)',correct
'int jellyfishColorR;',correct
'shootLaser == true',correct
'// resetting the game and score when a jellyfish reaches the end of the screenif (jellyfishX > 950) {    score = 0;    jellyfishX = -100;    jellyfishY = PApplet.parseInt(random(200, 500));    jellyfishColorR = PApplet.parseInt(random(0, 255));    jellyfishColorG = PApplet.parseInt(random(255));    jellyfishColorB = PApplet.parseInt(random(255));    jellyfishColor = color(jellyfishColorR, jellyfishColorG, jellyfishColorB);}',correct
'fill(255, 0, 0);',correct
'int jellyfishY;',correct
'// Every Jellyfish will have a different colorjellyfishColorR = PApplet.parseInt(random(0, 255));',correct
'{    fill(255, 0, 0);    stroke(255, 0, 0);    rect(laserX, laserY, 30, 6);    laserX = laserX - 5;}',correct
'narwhalX - 237',correct
'stroke(bodyColor)',correct
'waterY = 600;',correct
'// Movementvoid moveUp() {    narwhalY = narwhalY - speed;}',correct
'jellyfishX + score / 5 + 1',correct
'hans',correct
'int textY;',correct
'rect(narwhalX - 237, narwhalY - 50, 150, 10);',correct
'tentaclesX = tentaclesX + 11',correct
'class Narwhal {    int bodyColor;    boolean shootLaser;    float speed;    float narwhalX;    float narwhalY;    Narwhal() {        narwhalX = width / 2;        narwhalY = height / 2;        // light grey        bodyColor = color(150, 150, 150);        laserX = narwhalX - 237;        laserY = narwhalY - 48;        speed = 20;    }    void display() {        // Horn        fill(255);        stroke(255);        rect(narwhalX - 237, narwhalY - 50, 150, 10);        // head        stroke(bodyColor);        fill(bodyColor);        arc(narwhalX - 30, narwhalY, 150, 150, 1.0f * PI, 9);        stroke(0, 0, 0);        fill(0, 0, 0);        ellipse(narwhalX - 60, narwhalY - 30, 15, 15);        // body        stroke(bodyColor);        fill(bodyColor);        triangle(narwhalX - 30, narwhalY - 75, narwhalX - 30, narwhalY + 75, narwhalX + 200, narwhalY + 75);        // Back Fins        triangle(narwhalX + 200, narwhalY + 75, narwhalX + 235, narwhalY + 115, narwhalX + 235, narwhalY + 40);        // Front Fins        triangle(narwhalX - 30, narwhalY + 75, narwhalX + 30, narwhalY + 75, narwhalX + 15, narwhalY + 130);        // Laser        if (shootLaser == true) {            fill(255, 0, 0);            stroke(255, 0, 0);            rect(laserX, laserY, 30, 6);            laserX = laserX - 5;        }        if (laserX <= -30) {            shootLaser = false;        }        if (shootLaser == false) {            laserX = narwhalX - 237;            laserY = narwhalY - 48;        }        // Returning from off screen        if (narwhalX < -250) {            narwhalX = 1150;        }        if (narwhalX > 1150) {            narwhalX = -250;        }    }    // Movement    void moveUp() {        narwhalY = narwhalY - speed;    }    void moveLeft() {        narwhalX = narwhalX - speed;    }    void moveDown() {        narwhalY = narwhalY + speed;    }    void moveRight() {        narwhalX = narwhalX + speed;    }    void shoot() {        shootLaser = true;    }}',correct
'{    fill(255);    text(score, textX, textY);}',correct
'// Waterfill(100, 100, 255);',correct
'textX',correct
'{    hans.moveRight();}',correct
'// light greybodyColor = color(150, 150, 150);',correct
'textY',correct
'a',correct
'rect(narwhalX - 237, narwhalY - 50, 150, 10)',correct
'd',correct
